# time, h1_signal, l1_signal
1.201171875000000000e-01 -8.942974748622054885e-25 1.912635292733084477e-24
1.206054687500000000e-01 -1.075371830922411708e-24 1.896119500820041378e-24
1.210937500000000000e-01 -1.247501337342827619e-24 1.863797643978280854e-24
1.215820312500000000e-01 -1.409262393580855015e-24 1.815970871350185029e-24
1.220703125000000000e-01 -1.559334530571439760e-24 1.753007400207532524e-24
1.225585937500000000e-01 -1.696424481865914393e-24 1.675424786397300034e-24
1.230468750000000000e-01 -1.819407024842007505e-24 1.583899285545305706e-24
1.235351562500000000e-01 -1.927278018457422925e-24 1.479159341650387692e-24
1.240234375000000000e-01 -2.019095557377663936e-24 1.362076984147495951e-24
1.245117187500000000e-01 -2.094118323435881156e-24 1.233653268917353343e-24
1.250000000000000000e-01 -2.151733802058586775e-24 1.094920901243721009e-24
1.254882812500000000e-01 -2.191418590699543714e-24 9.470421563989946856e-25
1.259765625000000000e-01 -2.212870052926903223e-24 7.912709121096262802e-25
1.264648437500000000e-01 -2.215913115316373404e-24 6.288673045404200018e-25
1.269531250000000000e-01 -2.200481277726440145e-24 4.611981504030909260e-25
1.274414062500000000e-01 -2.166736168787489628e-24 2.896770694742412772e-25
1.279296875000000000e-01 -2.114955078862798078e-24 1.156950857373305542e-25
1.284179687500000000e-01 -2.045532316753694522e-24 -5.927870992400530672e-26
1.289062500000000000e-01 -1.959082244171215173e-24 -2.337755934770531546e-25
1.293945312500000000e-01 -1.856312354233946853e-24 -4.063776808135957390e-25
1.298828125000000000e-01 -1.738046090505799246e-24 -5.756208000770708901e-25
1.303710937500000000e-01 -1.605306613823583775e-24 -7.400891099330077312e-25
1.308593750000000000e-01 -1.459180093303212565e-24 -8.984450176778758671e-25
1.313476562500000000e-01 -1.300858484330726048e-24 -1.049338479994014243e-24
1.318359375000000000e-01 -1.131700236704205891e-24 -1.191513182347635025e-24
1.323242187500000000e-01 -9.530884111877199745e-25 -1.323813512138507989e-24
1.328125000000000000e-01 -7.664924881891751795e-25 -1.445102619313727277e-24
1.333007812500000000e-01 -5.735052528542779488e-25 -1.554376196948210868e-24
1.337890625000000000e-01 -3.757022627457826758e-25 -1.650746723086111519e-24
1.342773437500000000e-01 -1.747212880899906312e-25 -1.733373643442383201e-24
1.347656250000000000e-01 2.772592300882961730e-26 -1.801580597090894017e-24
1.352539062500000000e-01 2.299883622566049192e-25 -1.854816746872204701e-24
1.357421875000000000e-01 4.303819661143745351e-25 -1.892600375194633267e-24
1.362304687500000000e-01 6.272030026018395867e-25 -1.914634354570420436e-24
1.367187500000000000e-01 8.188509577158728149e-25 -1.920745651286418560e-24
1.372070312500000000e-01 1.003722138281957509e-24 -1.910844731433634116e-24
1.376953125000000000e-01 1.180246367359514374e-24 -1.885035899890471946e-24
1.381835937500000000e-01 1.346993162217325087e-24 -1.843537680144292994e-24
1.386718750000000000e-01 1.502556853156265524e-24 -1.786659315087111260e-24
1.391601562500000000e-01 1.645615786867492645e-24 -1.714901302427820869e-24
1.396484375000000000e-01 1.775018138426337153e-24 -1.628858668058189654e-24
1.401367187500000000e-01 1.889661943427467039e-24 -1.529214966829694954e-24
1.406250000000000000e-01 1.988573265991025206e-24 -1.416829785389428480e-24
1.411132812500000000e-01 2.070967178843671460e-24 -1.292629334852242759e-24
1.416015625000000000e-01 2.136126197737129351e-24 -1.157619141532105594e-24
1.420898437500000000e-01 2.183494677763418885e-24 -1.012955935357930926e-24
1.425781250000000000e-01 2.212713517248704605e-24 -8.598293429187499716e-25
1.430664062500000000e-01 2.223501978480199895e-24 -6.994922279452223434e-25
1.435546875000000000e-01 2.215764890786729413e-24 -5.333140153419619463e-25
1.440429687500000000e-01 2.189599071775582386e-24 -3.626579540593806175e-25
1.445312500000000000e-01 2.145181571190250217e-24 -1.889289308349321890e-25
1.450195312500000000e-01 2.082884960585139827e-24 -1.360762898285834498e-26
1.455078125000000000e-01 2.003255249520579590e-24 1.618712035191226528e-25
1.459960937500000000e-01 1.906911323514707241e-24 3.360548065890349510e-25
1.464843750000000000e-01 1.794665283590771528e-24 5.074588238073160997e-25
1.469726562500000000e-01 1.667473420326732683e-24 6.746840706488813136e-25
1.474609375000000000e-01 1.526350373970084691e-24 8.363387725768412456e-25
1.479492187500000000e-01 1.372489525433228313e-24 9.910453255655194329e-25
1.484375000000000000e-01 1.207188084838906433e-24 1.137546705476570258e-24
1.489257812500000000e-01 1.031778875530946255e-24 1.274616427461068335e-24
1.494140625000000000e-01 8.477472053772595544e-25 1.401084607981235484e-24
1.499023437500000000e-01 6.566341295094229882e-25 1.515930163216343702e-24
1.503906250000000000e-01 4.599895727809376394e-25 1.618182126747983875e-24
1.508789062500000000e-01 2.594821819524285254e-25 1.706964376983001962e-24
1.513671875000000000e-01 5.678414254777398313e-26 1.781570128969414603e-24
1.518554687500000000e-01 -1.464532386761780639e-25 1.841357290448901035e-24
1.523437500000000000e-01 -3.485008839571637733e-25 1.885809070059445551e-24
1.528320312500000000e-01 -5.476809345882988295e-25 1.914587230197406051e-24
1.533203125000000000e-01 -7.423666062710726488e-25 1.927425003320842606e-24
1.538085937500000000e-01 -9.308967009142913465e-25 1.924201816846884553e-24
1.542968750000000000e-01 -1.111712602311455376e-24 1.904974098469654701e-24
1.547851562500000000e-01 -1.283333240408940431e-24 1.869869939259261678e-24
1.552734375000000000e-01 -1.444286114111306506e-24 1.819174972293166953e-24
1.557617187500000000e-01 -1.593247825544585509e-24 1.753338891403156858e-24
1.562500000000000000e-01 -1.728995028879786191e-24 1.672874833438708726e-24
1.567382812500000000e-01 -1.850353556115782500e-24 1.578453030817686101e-24
1.572265625000000000e-01 -1.956336064500641419e-24 1.470883269100316521e-24
1.577148437500000000e-01 -2.046069436341300028e-24 1.351023491121055482e-24
1.582031250000000000e-01 -2.118763132105698174e-24 1.219878744788264662e-24
1.586914062500000000e-01 -2.173839196075026324e-24 1.078560621391457260e-24
1.591796875000000000e-01 -2.210839378422833054e-24 9.282081009557382052e-25
1.596679687500000000e-01 -2.229414295692300506e-24 7.700877158675557176e-25
1.601562500000000000e-01 -2.229440969787835138e-24 6.055311556085514816e-25
1.606445312500000000e-01 -2.210912133515284706e-24 4.358715032970094239e-25
1.611328125000000000e-01 -2.173945417431733878e-24 2.625420044886515506e-25
1.616210937500000000e-01 -2.118883500344803894e-24 8.699530870194041755e-26
1.621093750000000000e-01 -2.046169656605848510e-24 -8.934173803678018699e-26
1.625976562500000000e-01 -1.956377405633321293e-24 -2.649739660161828159e-25
1.630859375000000000e-01 -1.850290702450062086e-24 -4.384343307853277389e-25
1.635742187500000000e-01 -1.728770747164052352e-24 -6.083092854896735416e-25
1.640625000000000000e-01 -1.592804820817925592e-24 -7.731525307550379978e-25
1.645507812500000000e-01 -1.443562970013161875e-24 -9.315929035405033678e-25
1.650390625000000000e-01 -1.282260209948341115e-24 -1.082337807741466927e-24
1.655273437500000000e-01 -1.110222764898819802e-24 -1.224096742000154740e-24
1.660156250000000000e-01 -9.289200635970254302e-25 -1.355696105154480182e-24
1.665039062500000000e-01 -7.398285645248876004e-25 -1.476060593330716483e-24
1.669921875000000000e-01 -5.445141655011825123e-25 -1.584149584502282777e-24
1.674804687500000000e-01 -3.446389169245013578e-25 -1.679074945952812904e-24
1.679687500000000000e-01 -1.418311480670856756e-25 -1.760060738850250523e-24
1.684570312500000000e-01 6.221939316242372566e-26 -1.826393792190538335e-24
1.689453125000000000e-01 2.657804406311950041e-25 -1.877539178769519175e-24
1.694335937500000000e-01 4.671955256387798552e-25 -1.913078909843018572e-24
1.699218750000000000e-01 6.647782283993351562e-25 -1.932678311831326884e-24
1.704101562500000000e-01 8.568545147451564380e-25 -1.936195479767971902e-24
1.708984375000000000e-01 1.041864260460758430e-24 -1.923601752872081410e-24
1.713867187500000000e-01 1.218248430275785030e-24 -1.894965284114908655e-24
1.718750000000000000e-01 1.384513616702142471e-24 -1.850550182862483853e-24
1.723632812500000000e-01 1.539313493427434899e-24 -1.790720850923100849e-24
1.728515625000000000e-01 1.681332746301058704e-24 -1.715942594577277371e-24
1.733398437500000000e-01 1.809370519733276727e-24 -1.626866741078765872e-24
1.738281250000000000e-01 1.922397529640105338e-24 -1.524222758328010553e-24
1.743164062500000000e-01 2.019439688160027418e-24 -1.408836735001152137e-24
1.748046875000000000e-01 2.099676909731624979e-24 -1.281700202572371866e-24
1.752929687500000000e-01 2.162474089337019700e-24 -1.143854156252257018e-24
1.757812500000000000e-01 2.207269151736049522e-24 -9.964244160563390150e-25
1.762695312500000000e-01 2.233683982887245779e-24 -8.406712163427226839e-25
1.767578125000000000e-01 2.241527860390264174e-24 -6.778690937879140006e-25
1.772460937500000000e-01 2.230692973166324877e-24 -5.093582785202168532e-25
1.777343750000000000e-01 2.201272416425366759e-24 -3.365742941822374265e-25
